Energy_MeV,LET_keV_um,CSDA_um,longitudinal_straggling_um,lateral_straggling_um,particle,material,Energy_MeV_u
0.16,71.61,2.2,0.1362,0.1864,1H,water,0.15875
0.17,69.71,2.34,0.1393,0.1914,1H,water,0.16867
0.18,67.87,2.49,0.1425,0.1966,1H,water,0.17859
0.2,64.37,2.79,0.152,0.2071,1H,water,0.19843
0.225,60.41,3.19,0.1663,0.2208,1H,water,0.22324
0.25,56.89,3.61,0.181,0.2353,1H,water,0.24804
0.275,53.77,4.06,0.1962,0.2506,1H,water,0.27284
0.3,51.0,4.54,0.2118,0.2668,1H,water,0.29765
0.325,48.54,5.04,0.2278,0.2838,1H,water,0.32245
0.35,46.34,5.56,0.2443,0.3016,1H,water,0.34726
0.375,44.37,6.11,0.2612,0.3203,1H,water,0.37206
0.4,42.58,6.68,0.2785,0.3399,1H,water,0.39686
0.45,39.49,7.9,0.3366,0.3814,1H,water,0.44647
0.5,36.91,9.2,0.3934,0.4261,1H,water,0.49608
0.55,34.72,10.59,0.4497,0.4739,1H,water,0.54569
0.6,32.83,12.07,0.506,0.5244,1H,water,0.5953
0.65,31.19,13.62,0.5623,0.5777,1H,water,0.64491
0.7,29.76,15.26,0.6189,0.6336,1H,water,0.69451
0.8,27.38,18.75,0.8114,0.7525,1H,water,0.79373
0.9,25.51,22.52,0.9909,0.88,1H,water,0.89295
1.0,24.02,26.55,1.16,1.02,1H,water,0.99216
1.1,23.28,30.76,1.33,1.16,1H,water,1.09138
1.2,22.58,35.11,1.48,1.3,1H,water,1.19059
1.3,21.62,39.62,1.64,1.44,1H,water,1.28981
1.4,20.72,44.33,1.79,1.6,1H,water,1.38903
1.5,19.89,49.24,1.94,1.75,1H,water,1.48824
1.6,19.11,54.36,2.1,1.91,1H,water,1.58746
1.7,18.38,59.68,2.26,2.08,1H,water,1.68668
1.8,17.69,65.21,2.41,2.25,1H,water,1.78589
2.0,16.43,76.92,2.98,2.6,1H,water,1.98432
2.25,15.07,92.77,3.78,3.08,1H,water,2.23236
2.5,13.92,110.0,4.56,3.59,1H,water,2.4804
2.75,12.94,128.58,5.33,4.13,1H,water,2.72845
3.0,12.1,148.51,6.1,4.71,1H,water,2.97649
3.25,11.38,169.77,6.87,5.33,1H,water,3.22453
3.5,10.74,192.34,7.65,5.98,1H,water,3.47257
3.75,10.17,216.21,8.45,6.67,1H,water,3.72061
4.0,9.673,241.35,9.25,7.39,1H,water,3.96865
4.5,8.818,295.39,12.16,8.92,1H,water,4.46473
5.0,8.114,354.39,14.91,10.59,1H,water,4.96081
5.5,7.523,418.26,17.61,12.39,1H,water,5.45689
6.0,7.02,486.93,20.3,14.32,1H,water,5.95297
6.5,6.586,560.32,23.01,16.37,1H,water,6.44905
7.0,6.207,638.38,25.74,18.54,1H,water,6.94513
8.0,5.576,808.08,35.59,23.24,1H,water,7.9373
9.0,5.071,995.82,44.82,28.41,1H,water,8.92946
10.0,4.657,1200.0,53.88,34.05,1H,water,9.92162
11.0,4.311,1420.0,62.91,40.12,1H,water,10.91378
12.0,4.016,1660.0,72.03,46.64,1H,water,11.90594
13.0,3.763,1920.0,81.25,53.6,1H,water,12.8981
